district,mandal,village,lat_gis,long_gis,gwl,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1,year,temp_id
MAHABUBNAGAR,Nawabpet,Nawabpet,16.888,78.0239,11.89,8.12,1896.0,1213.44,0.0,212.8212751,420.0,1.6,107.40325,45.0,163.2546835,2.1,136.0,63.206,600.0,2.898016694,C3S1,-7.741436341,P.S.,2018,1323.0
MANCHERIAL,Bellampally,Bellampally I,19.072027,79.503111,17.43,7.45,1168.0,747.52,0.0,360.0,80.0,0.51,19.26615,148.0,104.0,11.0,80.0,53.482,419.9095395,2.20662042,C3S1,-1.198190789,P.S.,2018,1329.0
MANCHERIAL,Chennur,Chennur I,18.852222,79.780222,10.57,7.87,794.0,508.16,0.0,230.0,100.0,1.04,10.80676,39.0,95.0,1.0,40.0,34.034,239.9424342,2.666503997,C3S1,-0.198848684,P.S.,2018,1331.0
MANCHERIAL,Jaipur,Jaipur,18.844277,79.579972,5.59,8.1,2920.0,1868.8,0.0,400.0,520.0,1.21,1.99305,398.0,650.0,4.0,24.0,38.896,219.9342105,19.05632392,C4S4,3.601315789,U.S.,2018,1335.0
MANCHERIAL,Mandamarri,Mandamarri,18.978679,79.477854,7.1,7.7,1546.0,989.44,0.0,280.0,250.0,0.92,20.28482,182.0,245.0,2.0,112.0,14.586,339.9753289,5.777162014,C3S1,-1.199506579,P.S.,2018,1342.0
MANCHERIAL,Tandur,Tandur ,19.157871,79.456254,19.62,8.11,804.0,514.56,0.0,310.0,50.0,0.85,23.38512,6.0,34.0,6.0,32.0,68.068,359.8848684,0.779236501,C3S1,-0.997697368,P.S.,2018,1345.0
MANCHERIAL,Vemanpally,Neelwai,19.04799,79.81505,1.85,7.97,490.0,313.6,0.0,140.0,60.0,0.76,1.7716,33.0,46.0,3.0,48.0,9.724,159.9835526,1.581220104,C2S1,-0.399671053,P.S.,2018,1346.0
MEDAK,Chegunta,Chegunta,17.9341,78.5186,20.64,8.51,687.0,439.68,120.0,144.3330636,40.0,2.43,10.40815,10.5,93.17960271,3.45,16.0,24.31,139.9588816,3.424465433,C2S1,2.487483641,MR,2018,1348.0
MEDAK,Havelighanpur,Mutayapally,18.0845,78.2189,16.5,8.29,859.0,549.76,0.0,179.0115778,150.0,1.12,21.7021,16.5,106.0898273,2.52,24.0,34.034,199.9424342,3.262071072,C3S1,-0.418617128,P.S.,2018,1350.0
MEDAK,Kulcharam,Rangampet,17.9451,78.1176,32.4,7.98,722.0,462.08,0.0,225.0927939,80.0,0.97,9.96525,11.0,74.74917972,1.69,32.0,29.172,199.9506579,2.298355352,C2S1,0.50284272,P.S.,2018,1353.0
MEDAK,Medak,Medak,18.0528,78.2708,23.2,8.37,789.0,504.96,60.0,63.34084774,170.0,0.84,15.0586,14.75,62.28345193,2.44,32.0,43.758,259.9259868,1.679654616,C3S1,-2.731702782,P.S.,2018,1354.0
MEDAK,Narasapur,Narasapur,17.735,78.2819,22.83,7.59,1309.0,837.76,0.0,236.442846,240.0,1.01,66.435,18.75,100.0592894,2.84,72.0,63.206,439.8930921,2.074225682,C3S1,-4.069004923,P.S.,2018,1356.0
MEDAK,Narasapur,Reddypally,17.7856,78.2633,16.65,7.71,1831.0,1171.84,0.0,260.7748405,390.0,0.95,69.5353,38.0,182.8564509,5.7,64.0,87.516,519.8519737,3.486924963,C3S1,-5.181542664,P.S.,2018,1357.0
MEDAK,Papannapet,Papannapet,18.04217,78.085354,21.59,8.39,1107.0,708.48,140.0,206.0593694,120.0,1.15,14.39425,20.25,99.50906053,2.21,24.0,68.068,339.8848684,2.346761068,C3S1,0.12349002,P.S.,2018,1359.0
MEDAK,Regode,T.lingampally,17.943349,77.827959,11.06,9.19,789.0,504.96,100.0,41.63836355,150.0,0.87,27.0169,15.0,62.41916207,49.11,32.0,29.172,199.9506579,1.919237318,C3S1,-1.166245887,P.S.,2018,1360.0
MEDAK,Shankarampet ,Gavvalapalli,18.0517,77.9172,12.56,8.38,747.0,478.08,60.0,100.7834766,120.0,1.44,31.8888,13.5,62.48777492,1.14,32.0,38.896,239.9342105,1.753965864,C2S1,-1.583014679,P.S.,2018,1361.0
MEDAK,Shankarampet R,Shankarampet,17.971,78.372,20.65,7.65,2570.0,1644.8,0.0,200.3092438,580.0,0.57,256.882,45.0,245.6706943,3.1,128.0,106.964,759.8190789,3.874988518,C4S1,-11.1901967,P.S.,2018,1362.0
MEDAK,Shivampet,Shivampet,17.7863,78.37,24.12,8.24,1101.0,704.64,0.0,228.5079371,200.0,0.97,20.15195,17.5,96.9526541,4.18,32.0,63.206,339.8930921,2.286444676,C3S1,-2.2277031,P.S.,2018,1364.0
MEDAK,Shivampet,Gudur,17.7817,78.3674,31.23,8.52,876.0,560.64,80.0,135.8208198,130.0,0.79,20.8163,17.0,91.34061076,3.04,24.0,43.758,239.9259868,2.56387844,C3S1,-0.48210334,P.S.,2018,1363.0
MEDAK,Shivampet,Usrikapally,17.8211,78.3949,22.05,8.09,1378.0,881.92,0.0,227.1048005,290.0,1.01,31.003,20.25,143.56446,3.05,48.0,63.206,379.8930921,3.20249461,C3S1,-3.055765833,P.S.,2018,1365.0
MEDAK,Tekmal,Tekmal,17.9754,78.0304,29.9,8.8,569.0,364.16,80.0,146.6529227,30.0,0.98,5.09335,8.25,58.03669149,0.96,16.0,29.172,159.9506579,1.995178679,C2S1,1.334045296,MR,2018,1366.0
MEDAK,Toopran,Islampur,17.8772,78.4746,37.39,7.27,388.0,248.32,0.0,133.4716132,30.0,2.2,10.1867,7.75,42.80677113,2.26,32.0,4.862,99.99177632,1.861240495,C2S1,0.669596737,P.S.,2018,1367.0
MEDAK,Toopran,Toopran,17.8413,78.4775,12.0,7.45,2580.0,1651.2,0.0,141.9084361,510.0,0.34,453.9725,48.0,237.2264536,5.7,216.0,58.344,779.9013158,3.69330738,C4S1,-12.75985759,P.S.,2018,1368.0
MEDAK,Yeldurthy,Edulapally,17.9672,78.3492,25.8,7.42,1303.0,833.92,0.0,247.6490304,210.0,1.36,97.438,21.75,89.79910008,2.26,96.0,53.482,459.9095395,1.820572337,C3S1,-4.245210182,P.S.,2018,1369.0
MEDAK,Yeldurthy,Kukunoor,17.9146,78.3208,9.1,7.69,382.0,244.48,0.0,136.7516132,30.0,0.77,2.43595,7.75,39.91087167,4.82,24.0,9.724,99.98355263,1.73539801,C2S1,0.735361211,P.S.,2018,1370.0
MEDAK,Yeldurthy,Ramayapally,17.9453,78.3213,16.3,7.93,509.0,325.76,0.0,174.385266,40.0,0.81,11.0725,11.75,44.23818452,0.71,32.0,19.448,159.9671053,1.520737015,C2S1,0.288363215,P.S.,2018,1371.0
MEDCHAL,Alwal,Old Alwal,17.494,78.508,9.17,7.61,1420.0,908.8,0.0,251.1397168,170.0,1.97,228.0935,27.0,79.63575619,3.15,168.0,29.172,539.9506579,1.490058211,C3S1,-5.776218822,P.S.,2018,1374.0
MEDCHAL,Balanagar,Balanagar 1,17.47,78.45,9.97,7.91,1792.0,1146.88,0.0,510.8721852,210.0,1.38,39.861,46.0,286.8021979,1.2,56.0,34.034,279.9424342,7.452813815,C3S2,4.618595019,U.S.,2018,1376.0
MEDCHAL,Kukatpally,Kaithalapur,17.47,78.4,6.58,7.98,2580.0,1651.2,0.0,461.9274716,450.0,1.0,159.444,50.0,284.1088065,4.2,176.0,58.344,679.9013158,4.737333058,C4S2,-4.359476884,P.S.,2018,1389.0
MEDCHAL,Kukatpally,Kukatpally 1,17.481,78.397,29.64,7.59,404.0,258.56,0.0,133.1022303,40.0,0.45,2.6574,8.0,26.63113692,4.81,32.0,14.586,139.9753289,0.978669656,C2S1,-0.137461973,P.S.,2018,1387.0
MEDCHAL,Malkajgiri,Malkajgiri,17.449,78.535,18.18,7.36,1223.0,782.72,0.0,262.7778874,150.0,2.24,132.87,23.0,107.6617429,2.88,40.0,68.068,380.0,2.401638144,C3S1,-2.342139621,P.S.,2018,1390.0
MEDCHAL,Qutubullapur,Gajularamaram 2,17.53,78.42,5.13,7.55,1130.0,723.2,0.0,250.37107,190.0,1.2,35.432,12.0,67.75237655,2.7,80.0,53.482,419.9095395,1.437536323,C3S1,-3.390769389,P.S.,2018,1396.0
MEDCHAL,Qutubullapur,Qutubullapur 2,17.5,78.46,29.98,8.02,740.0,473.6,0.0,220.4246173,70.0,1.32,44.29,11.0,49.83267918,4.23,64.0,24.31,260.0,1.34379825,C2S1,-0.790685286,P.S.,2018,1399.0
MEDCHAL,Qutubullapur,Shapurnagar,17.54,78.44,,7.4,1285.0,822.4,0.0,341.1964648,180.0,0.94,35.432,12.0,122.3353471,2.4,64.0,53.482,379.9095395,2.728877392,C3S1,-0.774261493,P.S.,2018,1394.0
MULUGU,Eturu Nagaram,Eturu Nagaram (D),18.359652,80.440017,,7.99,310.0,198.4,0.0,70.0,40.0,0.12,32.17030724,21.0,37.0,1.0,32.0,5.0,80.0,1.798576417,C2S1,-0.2,P.S.,2018,3040.0
MULUGU,Eturu Nagaram,Eturu Nagaram (S),18.3374,80.4232,13.51,7.88,315.0,201.6,0.0,70.0,50.0,0.11,34.91655298,25.0,36.0,1.0,32.0,4.862,99.99177632,1.565281755,C2S1,-0.599835526,P.S.,2018,1048.0
MULUGU,Govindaraopet,Pasra,18.207438,80.171524,2.34,8.25,1576.0,1008.64,0.0,450.0,220.0,1.08,5.49249148,75.0,161.0,2.0,56.0,97.24,539.8355263,3.012779233,C3S1,-1.796710526,P.S.,2018,1051.0
MULUGU,Govindaraopet,Project Nagar,18.2616,80.1944,4.47,7.95,510.0,326.4,0.0,140.0,70.0,0.2,1.9616041,66.0,45.0,11.0,72.0,4.862,199.9917763,1.383498233,C2S1,-1.199835526,P.S.,2018,1052.0
NAGARKURNOOL,Balmur,Balmur,16.331127,78.566382,21.05,7.52,1436.0,919.04,0.0,302.730465,240.0,0.75,68.6495,13.75,76.96727175,14.05,112.0,63.206,539.8930921,1.440205188,C3S1,-4.743252542,P.S.,2018,1410.0
NAGARKURNOOL,Bijinepalli,Bijinepalli,16.535278,78.196422,23.65,7.52,1280.0,819.2,0.0,105.0,300.0,0.54,110.725,16.0,57.0,2.17,104.0,63.206,519.8930921,1.08690102,C3S1,-8.297861842,P.S.,2018,1413.0
NAGARKURNOOL,Kalwakuthy,Kalwakuthy,16.667,78.488,37.63,7.68,1562.0,999.68,0.0,209.2913541,320.0,1.82,112.9395,20.75,102.1954793,5.3,96.0,77.792,559.8684211,1.877849845,C3S1,-7.011541338,P.S.,2018,1414.0
NAGARKURNOOL,Kodair,Kodair,16.269624,78.274343,3.78,8.64,1972.0,1262.08,40.0,61.44781665,390.0,0.69,369.8215,25.5,139.9229317,9.23,152.0,72.93,679.8766447,2.333167932,C3S1,-11.56857656,P.S.,2018,1417.0
NAGARKURNOOL,Kollapur,Kollapur,16.107,78.306,2.59,8.15,3860.0,2470.4,0.0,301.0,1080.0,0.45,35.21055,56.25,408.0,1.7,200.0,136.136,1059.769737,5.449122488,C4S1,-15.17539474,P.S.,2018,1419.0
NAGARKURNOOL,Lingal,Ambatipally,16.277,78.446,8.2,8.63,1758.0,1125.12,60.0,327.0453678,250.0,1.51,128.441,26.0,204.1350931,3.2,104.0,43.758,439.9259868,4.231555358,C3S1,-1.05761238,P.S.,2018,1421.0
NAGARKURNOOL,Nagarkurnool,Nagarkurnool,16.491743,78.302619,25.17,8.59,934.0,597.76,40.0,201.0642504,120.0,1.81,49.38335,11.75,41.17661718,1.75,72.0,48.62,379.9177632,0.918497607,C3S1,-2.777070256,P.S.,2018,1424.0
NAGARKURNOOL,Telkapally,Telkapally,16.435091,78.440307,3.65,9.06,1478.0,945.92,100.0,323.44883,200.0,1.58,8.858,18.25,222.8209209,1.6,56.0,29.172,259.9506579,6.008729706,C3S1,3.269963441,U.S.,2018,1428.0
